Stkcd,ShortName,Indcd,Indnme,sector,resist_count,resist_crises,rev_growth_2008金融危机,rev_growth_2015股灾,rev_growth_2018去杠杆,rev_growth_2020疫情,np_growth_2008金融危机,np_growth_2015股灾,np_growth_2018去杠杆,np_growth_2020疫情,avg_rev_growth,avg_np_growth,avg_cf_change,avg_roe_change,avg_gm_change,avg_lev_change,roe_2024,leverage_2024,quality_filtered
000592,平潭发展,A02,林业,A,4,2008金融危机; 2015股灾; 2018去杠杆; 2020疫情,1497.1559414531046,0.11382152178854155,0.1025957314590616,0.2771801156518063,-0.7827570241885031,-0.4558849833024937,5.570264801389559,-17.63589806884016,374.412384705501,-3.3260688187353993,-356429743.2575,0.6670663403707573,-0.048594368040720606,-0.35287769891110066,-0.0645326146939093,0.4692726061201307,False
601216,君正集团,C26,化学原料及化学制品制造业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.010364432117414224,0.09366906316507931,0.5114747598708294,,0.09060922113760764,0.06077428949549558,0.9406767273471264,0.20516941838444094,0.3640200793267432,746773505.7633333,0.01794848829160949,-0.003943004968306778,-0.012418513099597758,0.10282600935511088,0.3462352588438287,True
002335,科华恒盛,C38,电气机械及器材制造业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.11303099500967762,0.4247249296001111,0.0770885778702822,,0.10443409711030054,-0.7933723402040878,0.8059719146570309,0.20494816749335698,0.039011223854414544,37165882.74333335,-0.018853954856808016,-0.0022539957791331555,0.08251775104061841,0.06839683364027875,0.6245775588627681,False
300272,开能健康,C38,电气机械及器材制造业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.21909648215706165,0.2735276093253814,0.12217864271187898,,0.1132344317213748,31.2011041217745,-0.5805085995021181,0.2049342447314407,10.244609984664585,27411740.383333337,0.0767803926396169,0.006249547269662888,0.02199710523153529,0.086529752718188,0.5565133482824144,False
002465,海格通信,C39,计算机、通信和其他电子设备制造业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.28869353900549405,0.2141139738260017,0.11177446092840859,,0.24181599796985084,0.3093937894089561,0.04222915169002431,0.2048606579199681,0.19781297968961042,836404542.6766667,0.002286743278867844,-0.01560636241032548,-0.03024177895139436,0.008136678838037058,0.36015181146257086,False
002384,东山精密,C39,计算机、通信和其他电子设备制造业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.13313543610996045,0.2882377912754337,0.19278300191713774,,-0.1126082787165722,0.529006658690116,1.178393180235942,0.20471874310084395,0.5315971867364953,508278550.81333333,0.016225936762936956,0.0024941212146064964,-0.031119853051999675,0.05745287424569622,0.589558999424615,False
002643,万润股份,C26,化学原料及化学制品制造业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.5260557371598531,0.07135404127168782,0.016716406668266556,,1.6628495097644966,0.17172035422164939,0.03252914229342951,0.20470872836660248,0.6223663354265252,-52286561.31333334,0.009079922371669468,0.02799302337257409,0.010365297015146857,0.04930920099613979,0.2661511120353851,False
002614,奥佳华,C38,电气机械及器材制造业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.00692550918096086,0.2685778884645211,0.3360113638555288,,0.31256765323769153,0.24570708501886862,0.5800656191575797,0.20383825383367027,0.3794467858047133,203529068.01666668,0.01269371258897016,-0.008808796778527028,0.04540444811140051,0.01639389202780066,0.4107901675979769,False
002043,兔宝宝,C20,木材加工及木、竹、藤、棕、草制品业,C,3,2015股灾; 2018去杠杆; 2020疫情,-0.07602265434580033,0.16629165223508655,0.04536851096004684,0.39593968155192494,-0.23598112567159535,1.2353937645688853,-0.09450677615844268,0.13125752774844435,0.20253328158235276,0.4240481720529623,21677620.986666653,0.024262044309423508,0.008256207762973108,0.08602235075365137,0.18826046893362983,0.46586388891850217,True
002200,云投生态,A02,林业,A,3,2008金融危机; 2015股灾; 2018去杠杆,0.32813001658787605,0.1537954029560212,0.12480271986538877,-0.607588895388302,0.347590002859916,0.6373989663134966,0.4757703628796874,-2.747083809356458,0.2022427131364287,0.48691977735103326,-22180124.700000007,0.04571455146218373,-0.0004048556498161178,0.044911698030854964,-0.5840712619879493,0.9344459512394294,False
600528,中铁工业,C35,专用设备制造业,C,3,2008金融危机; 2018去杠杆; 2020疫情,0.2986718661969519,-0.1919268737950539,0.12667317143444837,0.18063938356316628,0.3604688572970843,-1.263206998519412,0.10696284308888056,0.11540289531502058,0.2019948070648555,0.19427819856699513,237222456.87999997,0.0070698298931094515,-0.002457233237397142,0.006088030585386428,0.06339202569457715,0.5725658024832759,False
002695,煌上煌,C13,农副食品加工业,C,3,2015股灾; 2018去杠杆; 2020疫情,,0.1698147305209532,0.28407371221914873,0.1509098285809347,,-0.34264203399432175,0.22563729646027186,0.2643135160235623,0.2015994237736789,0.0491029261631708,-30685720.69666667,-0.0008784519445617251,0.00037594859329304064,0.04212794098866796,0.013696849899898687,0.16037721534451688,False
600737,中粮糖业,C13,农副食品加工业,C,3,2008金融危机; 2015股灾; 2020疫情,0.1524287951855497,0.30518498760739615,-0.08572807738982458,0.1467760531552877,0.2943323164589637,1.5868304594458653,-0.2616636319401582,-0.08718839223351388,0.2014632786494112,0.5979914612237717,917344291.9799999,-0.027842383601452737,0.00802888341699505,-0.06981136456322751,0.14821024954878162,0.41482142955791057,True
601168,西部矿业,B09,有色金属矿采选业,B,3,2008金融危机; 2015股灾; 2018去杠杆,0.4489356967168606,0.10392730554693846,0.048770468763004754,-0.06597649917358486,-0.6837729245377265,-0.6843497619249675,-8.175600259394573,-0.00024439451600097604,0.20054449034226796,-3.1812409819524223,-839074700.0,-0.1054429433378901,-0.07763668260760352,0.06658497105722756,0.23256776394912276,0.5856910045140545,True
