Indcd,Indnme,样本数,M_Score均值,M_Score中位数,M_Score标准差,综合评分均值,综合评分中位数,M_Score超阈值比,极高风险数,高风险数,中等风险数,关注数,重述率,平均营业收入_亿,平均总资产_亿,风险指数
F51,批发业,903,-1.6412024232614641,-2.202378830491033,2.368940498226536,16.727998091633328,12.364064154689665,30.89700996677741,0,7,74,177,19.601328903654487,291.6059787176221,161.24197218821772,12.483680460345365
S90,综合,320,-1.6158963270502338,-2.3079314987109583,2.439616831497093,19.23166822291217,16.67089694528682,29.6875,0,3,33,60,20.9375,20.474686791564373,65.8993019624975,12.37620417055728
M73,研究和试验发展,61,-2.1193006218916164,-2.1772225637282543,0.9763930271876463,13.953901014577651,14.0,32.78688524590164,0,0,1,12,14.754098360655737,28.666205969626237,73.0491605403082,12.084065080405296
I65,软件和信息技术服务业,2127,-1.9602034038908562,-2.161748256180559,1.4063609351152224,14.302364854239672,10.943270492099105,28.960977903149974,0,5,87,365,21.48566055477198,17.529592614284155,34.351548325555946,12.017420228073538
C41,其他制造业,238,-1.884500924085139,-2.21348530477871,1.6372602433145862,14.549472645595108,10.0,31.512605042016805,0,3,12,45,14.285714285714285,63.8811678372168,47.492588155505885,12.011163597580373
C32,有色金属冶炼及压延加工业,786,-1.900192023125877,-2.2268864453933706,1.9117708275014798,14.293811464432048,10.0,27.353689567430024,1,5,34,126,20.99236641221374,172.1876157346874,151.90409094676528,11.619703994309935
L72,商务服务业,498,-1.8087164592726543,-2.23436981289413,2.3035622123759985,16.185106411166327,11.672625089050303,29.116465863453815,0,3,36,84,17.46987951807229,106.93998494734055,100.17194310767911,11.57660734434117
M74,专业技术服务业,388,-2.075222183448177,-2.1966491820138,0.9186556514999636,12.118811889901993,10.0,26.03092783505155,0,0,9,60,23.195876288659793,15.804471884764947,31.288371612860576,11.318956823539189
C25,石油加工、炼焦及核燃料加工业,209,-2.100618302849984,-2.399348472864539,1.919387652255233,13.87294611956486,10.0,24.401913875598087,0,2,10,29,22.966507177033492,125.25241597640289,106.14874441722965,11.087313944246281
C28,化学纤维制造业,314,-1.8607824624583296,-2.27558565544322,2.204041295603718,13.490767645460208,10.0,28.02547770700637,0,0,11,48,16.878980891719745,139.02895635412898,172.5579465939892,10.973217364973523
A01,农业,195,-2.1865362196893625,-2.4400556592004405,1.6482106290333796,14.885579475651062,12.901203874052618,23.589743589743588,0,2,9,26,23.076923076923077,22.824460376681028,44.08338110689589,10.883367794842972
R88,体育,7,-2.508389205936821,-2.444461643082596,0.9108449503828372,16.588750238851357,17.186383416983208,28.57142857142857,0,0,0,1,14.285714285714285,6.4300481913,24.126212077242855,10.755757589882842
G59,仓储业,98,-2.050138857525254,-2.2504428332033206,1.2350132517798829,13.639793211377945,11.746586588425123,23.46938775510204,0,0,5,14,24.489795918367346,59.51136018061939,48.62900088503979,10.748385197314159
E48,土木工程建筑业,662,-1.9420524246788329,-2.1873977872610038,1.3730292216362054,14.45607257601584,10.504049545012844,21.90332326283988,0,4,29,105,26.283987915407852,826.7047529339167,1221.4356799111317,10.731004229778407
E50,建筑装饰和其他建筑业,290,-2.0304008549351615,-2.213497399837286,1.6439538074649032,14.984616329596466,11.016596743163529,24.137931034482758,0,3,14,46,19.655172413793103,62.07469092326173,92.93344324884,10.53746154082399
A03,畜牧业,161,-2.110125250179924,-2.400504039382451,2.1642623561298695,13.917156643830808,11.693604753961756,27.32919254658385,0,0,5,26,13.043478260869565,74.2934568527416,110.03166979491739,10.190072394715166
G54,道路运输业,385,-2.0560285539217587,-2.386137693348761,1.5722214318271839,11.734795375495487,10.0,20.77922077922078,0,2,7,45,24.935064935064936,33.371999513941816,158.3135089489574,10.159207118308867
